time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2013-10-19T22:38:08.240Z,9.9668,124.3264,10,4.6,mb,,93,3.133,1.17,us,usb000khft,2022-07-26T00:33:36.546Z,"2 km SW of San Miguel, Philippines",earthquake,,1.6,0.083,,reviewed,us,us
2013-10-19T21:43:28.290Z,10.06,124.3542,10,4.8,mb,,46,8.992,0.96,us,usb000khf4,2022-07-26T00:06:31.409Z,"2 km SSE of Trinidad, Philippines",earthquake,,1.1,0.059,,reviewed,us,us
2013-10-19T21:31:23.060Z,10.066,124.1876,10,4.7,mb,,108,13.258,0.84,us,usc000kpef,2013-12-30T23:41:14.000Z,"9 km SSE of Jetafe, Philippines",earthquake,,1.9,0.137,,reviewed,us,us
2013-10-19T21:29:36.700Z,10.0397,124.2137,10,4.9,mb,,45,3.245,0.76,us,usb000khf0,2022-07-26T00:05:29.060Z,"13 km WSW of San Roque, Philippines",earthquake,,1.8,0.058,,reviewed,us,us
2013-10-19T21:11:46.610Z,9.6202,123.7329,10,4.7,mb,,43,3.123,0.72,us,usb000khf3,2013-12-30T23:41:14.000Z,"3 km N of Doljo, Philippines",earthquake,,1.8,0.06,,reviewed,us,us
2013-10-19T20:40:41.250Z,10.0841,124.2202,10,4.9,mb,,45,3.282,0.42,us,usb000khea,2022-07-26T00:09:12.435Z,"8 km SSW of Bagacay, Philippines",earthquake,,1.8,0.066,,reviewed,us,us
2013-10-19T11:19:29.780Z,9.8945,124.4839,10,4.4,mb,,150,9.038,0.67,us,usc000kpe5,2013-12-30T23:41:14.000Z,"3 km SW of Abaca, Philippines",earthquake,,1.9,0.098,,reviewed,us,us
2013-10-18T23:51:36.770Z,9.5475,123.7291,10,4.3,mb,,71,14.688,0.68,us,usc000kpdm,2013-12-30T23:41:13.000Z,"3 km ENE of Danao, Philippines",earthquake,,1.9,0.133,,reviewed,us,us
2013-10-18T17:31:54.390Z,9.9587,124.5014,10.35,4.4,mb,,99,9.08,0.72,us,usc000kpdc,2013-12-30T23:41:13.000Z,"4 km N of Abaca, Philippines",earthquake,,5.1,0.139,,reviewed,us,us
2013-10-18T13:22:10.350Z,9.7491,123.9294,23,4.5,mb,,95,8.481,1.47,us,usc000kpd7,2013-12-30T23:41:13.000Z,"4 km W of Balilihan, Philippines",earthquake,,1.5,0.121,,reviewed,us,us
2013-10-18T08:54:38.000Z,9.6729,124.0043,10,4.3,mb,,123,3.019,0.97,us,usc000kpcy,2013-12-30T23:41:12.000Z,"5 km NW of Loboc, Philippines",earthquake,,1.9,0.188,,reviewed,us,us
2013-10-18T08:48:04.520Z,9.7677,123.9592,10,4.8,mb,,73,3.123,1.43,us,usb000kg9j,2022-07-26T00:00:15.615Z,"1 km NW of Balilihan, Philippines",earthquake,,1.7,0.07,,reviewed,us,us
2013-10-18T07:24:31.660Z,9.9077,124.0799,10,4.6,mb,,91,3.185,0.84,us,usb000kg8l,2022-07-25T23:58:14.446Z,"1 km WSW of Sagbayan, Philippines",earthquake,,1.8,0.109,,reviewed,us,us
2013-10-17T13:56:41.120Z,9.8109,123.7009,23,4.5,mb,,116,3.296,1.13,us,usc000kpc2,2013-12-30T23:41:12.000Z,"10 km W of Loon, Philippines",earthquake,,1.9,0.109,,reviewed,us,us
2013-10-17T05:46:01.750Z,9.9612,124.1487,10,4.6,mb,,107,3.202,0.93,us,usb000kfg7,2013-12-30T23:41:11.000Z,"6 km ENE of Canmaya Diot, Philippines",earthquake,,1.8,0.073,,reviewed,us,us
2013-10-17T05:38:34.520Z,9.6183,123.87,10,4.4,mb,,50,3.045,0.79,us,usc000kpbn,2013-12-30T23:41:11.000Z,"0 km SSE of Dauis, Philippines",earthquake,,1.9,0.17,,reviewed,us,us
2013-10-17T03:36:25.660Z,9.8017,124.5275,10,4.2,mb,,133,2.906,0.85,us,usc000kpbm,2013-12-30T23:41:11.000Z,"2 km ENE of Giawang, Philippines",earthquake,,1.9,0.176,,reviewed,us,us
